produt_name,produt_price,produt_img,produt_rating
"Samsung 65"" - RU9000 Series - 4K UHD LED LCD TV - $65 Allstate Protection Plan Bundle Included",$849.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9965090test-847__1&recipeName=350,Rated 4.6 out of 5 stars based on 3966 reviews.
"Samsung 75"" - TU700D Series - 4K UHD LED LCD TV",$899.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9975007test-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 13293 reviews.
"Samsung 75"" Class - Q6 Series - 4K UHD QLED LCD TV - Allstate Protection Plan Bundle Included","$1,399.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9875600test-847__1&recipeName=350,Rated 4.3 out of 5 stars based on 150 reviews.
"Samsung 65"" Class - Q8DT Series - 4K UHD QLED LCD TV - $100 Allstate Protection Plan Bundle Included","$1,299.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9965080test-847__1&recipeName=350,Rated 4.6 out of 5 stars based on 3186 reviews.
"LG 77"" Class - CX Series - 4K UHD OLED TV - $100 Allstate Protection Plan Bundle Included","$2,949.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9770010-847__1&recipeName=350,Rated 4.8 out of 5 stars based on 1344 reviews.
"Samsung 55"" Class - Q8 Series - 4K UHD QLED LCD TV - Allstate Protection Plan Bundle Included","$1,249.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9855800test-847__1&recipeName=350,Rated 4.2 out of 5 stars based on 69 reviews.
"Samsung 65"" Class - Q6 Series - 4K UHD QLED LCD TV - Allstate Protection Plan Bundle Included","$1,049.99",none,Rated 4.3 out of 5 stars based on 150 reviews.
"LG 65"" Class - NANO85 Series - 4K UHD LED LCD TV - Allstate Protection Plan Bundle Included",$999.99,none,Rated 4.8 out of 5 stars based on 6 reviews.
"VIZIO 85"" Class - PQX-Series - 4K Quantum LED LCD TV","$2,899.99",none,Rated 4.2 out of 5 stars based on 211 reviews.
"Sony 85"" Class - X90CH Series - 4K UHD LED LCD TV","$1,999.99",none,Rated 4.5 out of 5 stars based on 3298 reviews.
"LG 75"" Class - NANO91 Series - 4K UHD LED LCD TV - $100 Allstate Protection Plan Bundle Included","$1,649.99",none,Rated 4.5 out of 5 stars based on 628 reviews.
"Hisense 55"" Class - R8F Series - ULED LED LCD TV",$469.99,none,Rated 4.3 out of 5 stars based on 522 reviews.
"LG 55"" Class - C1 Series - 4K UHD OLED TV - Allstate Protection Plan Bundle Included","$1,499.99",none,Rated 5 out of 5 stars based on 3 reviews.
SANUS Simplicity In-wall Power and Cable Management Kit,$54.99,none,Rated 4.3 out of 5 stars based on 351 reviews.
"SANUS Simplicity SSTV2-B1 TV Swivel Stand 32"" to 65""",$79.99,none,Rated 4.6 out of 5 stars based on 1334 reviews.
"Samsung 82"" - RU9000 Series - 4K UHD LED LCD TV - $100 Allstate Protection Plan Bundle Included","$1,499.99",none,Rated 4.6 out of 5 stars based on 3966 reviews.
Winegard Flatwave Amplified HDTV Indoor Antenna,$34.99,none,Rated 3.9 out of 5 stars based on 2167 reviews.
SANUS Simplicity SA304-W1 On-wall TV Cord Cover Kit,$18.99,none,Rated 3.5 out of 5 stars based on 136 reviews.
"SANUS Simplicity 37""- 90"" Tilting TV Mount",$89.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1907031-847__1&recipeName=350,Rated 4.6 out of 5 stars based on 2082 reviews.
"Kanto 40"" - 90"" Full-Motion TV Mount",$99.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=657260-847__1&recipeName=350,Rated 4.7 out of 5 stars based on 1778 reviews.
"LG 48"" Class - C1 Series - 4K UHD OLED TV - Allstate Protection Plan Bundle Included","$1,399.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9848001-847__1&recipeName=350,Rated 4.4 out of 5 stars based on 5 reviews.
"Samsung 85"" Class - QN850 Series - 8K UHD Neo QLED LCD TV - Allstate Protection Plan Bundle Included","$6,499.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9885085test-847__1&recipeName=350,Rated 3.6 out of 5 stars based on 8 reviews.
"LG 75"" Class - NANO85 Series - 4K UHD LED LCD TV - Allstate Protection Plan Bundle Included","$1,699.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9875851-847__1&recipeName=350,Rated 0 out of 5 stars based on 0 reviews.
"SANUS Simplicity 22"" - 55"" Full-Motion TV Mount",$69.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1902181-847__1&recipeName=350,Rated 4.6 out of 5 stars based on 1333 reviews.
WireLogic 15 Feet Sapphire HDMI Cable,$19.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=643426-847__1&recipeName=350,Rated 4.8 out of 5 stars based on 285 reviews.
"Samsung 55"" Class - Q7 Series - 4K UHD QLED LCD TV - Allstate Protection Plan Bundle Included","$1,099.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9855700test-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 171 reviews.
"Sony 65"" Class - X81CH Series - 4K UHD LED LCD TV",$849.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9865081-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 86 reviews.
"Samsung 75"" Class - QN850 Series - 8K UHD Neo QLED LCD TV - Allstate Protection Plan Bundle Included","$4,299.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9875085test-847__1&recipeName=350,Rated 3.6 out of 5 stars based on 8 reviews.
"Sony 55"" Class - X81CH Series - 4K UHD LED LCD TV",$699.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9855081-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 96 reviews.
"Samsung 65"" Class - Q8 Series - 4K UHD QLED LCD TV - Allstate Protection Plan Bundle Included","$1,399.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9865800test-847__1&recipeName=350,Rated 4.2 out of 5 stars based on 69 reviews.
"LG 65"" Class - UN7300 Series - 4K UHD LED LCD TV",$599.99,none,Rated 4.6 out of 5 stars based on 1652 reviews.
"LG 55"" Class - CX Series - 4K UHD OLED TV - $100 Allstate Protection Plan Bundle Included","$1,349.99",none,Rated 4.7 out of 5 stars based on 1753 reviews.
"Samsung 75"" Class - Q850T Series - 8K UHD QLED LCD TV - $100 Allstate Protection Plan Bundle Included","$2,999.99",none,Rated 4.4 out of 5 stars based on 384 reviews.
"VIZIO 65"" Class - PQ-Series - 4K Quantum LED LCD TV","$1,179.99",none,Rated 4.1 out of 5 stars based on 223 reviews.
"LG 65"" Class - UN8500 Series - 4K UHD LED LCD TV",$729.99,none,Rated 4.5 out of 5 stars based on 1398 reviews.
"Samsung 75"" Class - Q8DT Series - 4K UHD QLED LCD TV - $100 Allstate Protection Plan Bundle Included","$2,199.99",none,Rated 4.6 out of 5 stars based on 3186 reviews.
"Samsung 65"" Class - QN85 Series - 4K UHD Neo QLED LCD TV - Allstate Protection Plan Bundle Included","$1,999.99",none,Rated 4.2 out of 5 stars based on 58 reviews.
"Samsung 65"" - TU700D Series - 4K UHD LED LCD TV",$599.99,none,Rated 4.5 out of 5 stars based on 13293 reviews.
"Samsung 75"" - RU9000 Series - 4K UHD LED LCD TV - Allstate Protection Plan Bundle Included","$1,229.99",none,Rated 4.6 out of 5 stars based on 3966 reviews.
"VIZIO 58"" Class - V-Series - 4K UHD LED LCD TV",$429.99,none,Rated 4.1 out of 5 stars based on 3667 reviews.
"Samsung 58"" - TU700D Series - 4K UHD LED LCD TV",$499.99,none,Rated 4.5 out of 5 stars based on 13293 reviews.
"Sony 65"" Class - X90CJ Series - 4K UHD LED LCD TV - Allstate Protection Plan Bundle Included","$1,399.99",none,Rated 4.4 out of 5 stars based on 20 reviews.
"Samsung 75"" Class - Q7 Series - 4K UHD QLED LCD TV - Allstate Protection Plan Bundle Included","$2,099.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9875700test-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 171 reviews.
"Samsung 65"" - TU850D Series - 4K UHD LED LCD TV",$749.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9965850test-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 1867 reviews.
"LG 65"" Class - NANO91 Series - 4K UHD LED LCD TV - Allstate Protection Plan Bundle Included","$1,149.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9006591-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 779 reviews.
"Samsung 85"" Class - Q7 Series - 4K UHD QLED LCD TV - Allstate Protection Plan Bundle Included","$2,799.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9885700test-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 171 reviews.
"Samsung 85"" Class - Q6 Series - 4K UHD QLED LCD TV - Allstate Protection Plan Bundle Included","$2,799.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9885600test-847__1&recipeName=350,Rated 5 out of 5 stars based on 4 reviews.
"LG 83"" Class - C1 Series - 4K UHD OLED TV - Allstate Protection Plan Bundle Included","$5,799.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9883001-847__1&recipeName=350,Rated 0 out of 5 stars based on 0 reviews.
"LG 86"" Class - NANO85 Series - 4K UHD LED LCD TV - Allstate Protection Plan Bundle Included","$2,699.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9886851-847__1&recipeName=350,Rated 5 out of 5 stars based on 1 reviews.
"Samsung 70"" Class - Q6DT Series - 4K UHD QLED LCD TV - Allstate Protection Plan Bundle Included","$1,099.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9970600test-847__1&recipeName=350,Rated 0 out of 5 stars based on 0 reviews.
"VIZIO 65"" Class - PQX-Series - 4K Quantum LED LCD TV","$1,479.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=7658527-847__1&recipeName=350,Rated 4.2 out of 5 stars based on 211 reviews.
